ID,REF_DATE,GEO,DGUID,Type of product,Type of storage,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1478,1973-11,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,220,,,,0
1479,1973-11,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,1629,,,,0
1480,1973-11,Maritime provinces,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,974,,,,0
1481,1973-11,Quebec,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,92,,,,0
1482,1973-11,Quebec,,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,6977,,,,0
1483,1973-11,Quebec,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,15501,,,,0
1484,1973-11,Quebec,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,1357,,,,0
1485,1973-11,Ontario,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,189,,,,0
1486,1973-11,Ontario,,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,34584,,,,0
1487,1973-11,Ontario,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,36563,,,,0
1488,1973-11,Ontario,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,1130,,,,0
1489,1973-11,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0,,,,0
1490,1973-11,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,294,,,,0
1491,1973-11,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,63,,,,0
1492,1973-11,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,82,,,,0
1493,1973-11,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,9,,,,0
1494,1973-11,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,114,,,,0
1495,1973-11,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,23,,,,0
1496,1973-11,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,112,,,,0
1497,1973-11,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,138,,,,0
1498,1973-11,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,1660,,,,0
1499,1973-11,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,1709,,,,0
1500,1973-11,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,811,,,,0
1501,1973-11,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,41,,,,0
1502,1973-11,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,5798,,,,0
1503,1973-11,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,2179,,,,0
1504,1973-11,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,1027,,,,0
1505,1973-12,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,1106,,,,0
1506,1973-12,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,42011,,,,0
1507,1973-12,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,52471,,,,0
1508,1973-12,Canada,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,7199,,,,0
1509,1973-12,Maritime provinces,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722343,2.1.1,688,,,,0
1510,1973-12,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,212,,,,0
1511,1973-12,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,2162,,,,0
1512,1973-12,Maritime provinces,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,1793,,,,0
1513,1973-12,Quebec,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,81,,,,0
1514,1973-12,Quebec,,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,5957,,,,0
1515,1973-12,Quebec,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,15849,,,,0
1516,1973-12,Quebec,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,2072,,,,0
1517,1973-12,Ontario,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,177,,,,0
1518,1973-12,Ontario,,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,29284,,,,0
1519,1973-12,Ontario,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,30895,,,,0
1520,1973-12,Ontario,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,1674,,,,0
1521,1973-12,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0,,,,0
1522,1973-12,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,424,,,,0
1523,1973-12,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,69,,,,0
1524,1973-12,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,43,,,,0
1525,1973-12,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,8,,,,0
1526,1973-12,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,95,,,,0
1527,1973-12,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,27,,,,0
1528,1973-12,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,79,,,,0
1529,1973-12,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,122,,,,0
1530,1973-12,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,1494,,,,0
1531,1973-12,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,1563,,,,0
1532,1973-12,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,239,,,,0
1533,1973-12,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,30,,,,0
1534,1973-12,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,4545,,,,0
1535,1973-12,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,1905,,,,0
1536,1973-12,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,1300,,,,0
1537,1974-01,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,945,,,,0
1538,1974-01,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,34543,,,,0
1539,1974-01,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,42604,,,,0
1540,1974-01,Canada,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,5282,,,,0
1541,1974-01,Maritime provinces,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722343,2.1.1,587,,,,0
1542,1974-01,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,153,,,,0
1543,1974-01,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,1012,,,,0
1544,1974-01,Maritime provinces,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,940,,,,0
1545,1974-01,Quebec,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,74,,,,0
1546,1974-01,Quebec,,Onions,Cold and common storage,Tonnes,288,units ,0,v722352,3.2.1,5620,,,,0
1547,1974-01,Quebec,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722360,3.3.1,12532,,,,0
1548,1974-01,Quebec,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722368,3.4.1,1500,,,,0
1549,1974-01,Ontario,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722345,4.1.1,145,,,,0
1550,1974-01,Ontario,,Onions,Cold and common storage,Tonnes,288,units ,0,v722353,4.2.1,24053,,,,0
1551,1974-01,Ontario,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722361,4.3.1,26595,,,,0
1552,1974-01,Ontario,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722369,4.4.1,1598,,,,0
1553,1974-01,Manitoba,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722346,5.1.1,0,,,,0
1554,1974-01,Manitoba,,Onions,Cold and common storage,Tonnes,288,units ,0,v722354,5.2.1,233,,,,0
1555,1974-01,Manitoba,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722362,5.3.1,132,,,,0
1556,1974-01,Manitoba,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722370,5.4.1,82,,,,0
1557,1974-01,Saskatchewan,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722347,6.1.1,7,,,,0
1558,1974-01,Saskatchewan,,Onions,Cold and common storage,Tonnes,288,units ,0,v722355,6.2.1,77,,,,0
1559,1974-01,Saskatchewan,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722363,6.3.1,20,,,,0
1560,1974-01,Saskatchewan,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722371,6.4.1,35,,,,0
1561,1974-01,Alberta,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722348,7.1.1,103,,,,0
1562,1974-01,Alberta,,Onions,Cold and common storage,Tonnes,288,units ,0,v722356,7.2.1,1159,,,,0
1563,1974-01,Alberta,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722364,7.3.1,1368,,,,0
1564,1974-01,Alberta,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722372,7.4.1,75,,,,0
1565,1974-01,British Columbia,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722349,8.1.1,29,,,,0
1566,1974-01,British Columbia,,Onions,Cold and common storage,Tonnes,288,units ,0,v722357,8.2.1,3249,,,,0
1567,1974-01,British Columbia,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722365,8.3.1,945,,,,0
1568,1974-01,British Columbia,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722373,8.4.1,1051,,,,0
1569,1974-02,Canada,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722342,1.1.1,774,,,,0
1570,1974-02,Canada,,Onions,Cold and common storage,Tonnes,288,units ,0,v722350,1.2.1,24680,,,,0
1571,1974-02,Canada,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722358,1.3.1,29430,,,,0
1572,1974-02,Canada,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722366,1.4.1,3175,,,,0
1573,1974-02,Maritime provinces,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722343,2.1.1,472,,,,0
1574,1974-02,Maritime provinces,,Onions,Cold and common storage,Tonnes,288,units ,0,v722351,2.2.1,134,,,,0
1575,1974-02,Maritime provinces,,Carrots,Cold and common storage,Tonnes,288,units ,0,v722359,2.3.1,474,,,,0
1576,1974-02,Maritime provinces,,Cabbage,Cold and common storage,Tonnes,288,units ,0,v722367,2.4.1,486,,,,0
1577,1974-02,Quebec,,Potatoes,Cold and common storage,Tonnes,288,units ,0,v722344,3.1.1,77,,,,0
